applicant_id,age,gender,marital_status,num_dependents,education_level,state,residence_type,employment_type,work_experience_years,monthly_income_inr,bank_balance_avg_3m_inr,savings_rate_pct,upi_monthly_txn_count,upi_monthly_txn_value_inr,mobile_bill_ontime_pct,utility_bill_ontime_pct,gst_filed_regularly,credit_history_months,num_credit_accounts,has_credit_card,has_secured_loan,credit_mix_score,credit_utilization_pct,num_hard_inquiries_12m,num_missed_payments_24m,num_defaults,existing_active_loans,loan_purpose,loan_amount_requested_inr,loan_tenure_months,estimated_emi_inr,debt_to_income_ratio,credit_score,interest_rate_pct,loan_decision
BC00048,22,Female,Single,0,Higher Secondary,Karnataka,Owned,Freelancer,1,134729,381641,11.7,28,52819,90.2,89.3,-1,60,1,1,1,2,48.0,1,0,0,4,Personal Loan,3585443,180,40303,0.448,743,11.09,Conditionally Approved
BC00049,40,Male,Married,3,Graduate,Telangana,Rented,Self-Employed,2,42586,7272,17.8,26,60485,86.8,94.7,1,12,2,1,1,2,37.1,2,0,0,2,Home Loan,1982303,24,92207,2.4,752,11.26,Rejected
BC00050,48,Male,Married,1,Graduate,Kerala,Parental,Business Owner,13,303661,323858,3.9,31,308641,78.0,51.3,1,7,0,1,1,2,7.1,0,0,0,2,Vehicle Loan,2801821,120,38279,0.159,823,7.69,Approved
BC00051,27,Female,Single,2,Graduate,Telangana,Parental,Freelancer,3,101346,16499,5.9,24,143646,74.3,80.6,-1,16,0,1,1,2,29.1,1,0,0,0,Personal Loan,476941,120,6516,0.064,822,7.92,Approved
BC00052,64,Male,Married,1,Higher Secondary,Delhi,Rented,Business Owner,1,339954,174282,19.2,34,359766,37.9,74.2,0,32,6,0,0,1,46.5,1,2,1,2,Credit Card,3923770,12,346423,1.048,652,14.5,Rejected
BC00053,28,Male,Single,2,Post Graduate,Uttar Pradesh,Company Provided,Salaried,4,121722,75739,11.7,35,99473,83.0,79.0,-1,34,13,1,0,2,24.6,1,1,2,3,Credit Card,4900224,12,432633,3.678,645,13.06,Rejected
BC00054,55,Male,Married,2,Graduate,Tamil Nadu,Parental,Self-Employed,0,73671,180492,18.3,50,72221,84.0,32.5,1,5,13,0,1,2,12.6,2,0,1,0,Vehicle Loan,436354,48,11235,0.153,709,11.09,Conditionally Approved
BC00055,34,Male,Divorced,4,Graduate,Tamil Nadu,Owned,Business Owner,4,322647,961428,8.3,28,417958,84.8,80.3,1,24,4,0,1,2,61.4,1,0,0,5,Personal Loan,2990149,60,64715,0.278,705,10.72,Conditionally Approved
BC00056,37,Male,Married,1,Secondary,Madhya Pradesh,Rented,Self-Employed,4,81897,214179,27.0,24,56620,72.4,54.0,1,12,2,0,1,1,16.4,1,1,3,4,Personal Loan,985709,48,25381,0.554,554,23.45,Rejected
BC00057,56,Female,Divorced,2,Graduate,Telangana,Owned,Business Owner,7,480192,932478,6.1,35,695199,78.7,82.2,1,73,6,0,1,2,50.0,2,0,0,0,Personal Loan,2535178,120,34636,0.072,716,11.76,Conditionally Approved
BC00058,60,Female,Single,2,Post Graduate,Punjab,Rented,Freelancer,21,128143,281463,1.8,46,110094,96.5,83.4,-1,15,13,0,0,1,38.5,1,0,0,5,Business Loan,3303965,36,107855,1.037,726,10.54,Rejected
BC00059,24,Male,Single,4,Graduate,Rajasthan,Parental,Freelancer,1,125253,202432,28.4,31,181302,94.0,71.1,-1,72,1,1,0,1,42.1,1,0,0,0,Personal Loan,2135469,120,29175,0.233,816,8.02,Approved
BC00060,22,Female,Married,3,Higher Secondary,Karnataka,Owned,Self-Employed,3,115297,152812,16.7,28,156447,93.6,89.2,1,22,2,1,1,2,41.0,0,3,0,1,Education Loan,3715632,180,41766,0.406,713,10.25,Conditionally Approved
BC00061,26,Female,Divorced,1,Post Graduate,Madhya Pradesh,Parental,Salaried,11,32788,69094,9.9,38,40041,77.7,78.6,-1,51,0,0,1,1,34.2,0,0,0,1,Credit Card,3572348,84,60792,2.007,738,11.34,Rejected
BC00062,62,Female,Married,2,Secondary,Maharashtra,Rented,Unemployed,7,17515,51180,29.3,41,15079,81.7,82.0,-1,28,7,1,0,2,40.0,2,1,0,0,Personal Loan,1396365,84,23763,1.357,722,10.02,Rejected
BC00063,24,Male,Married,1,Post Graduate,Punjab,Rented,Gig Worker,3,41899,7701,19.6,33,42081,85.9,85.9,-1,38,1,1,0,1,45.9,3,0,1,2,Vehicle Loan,1186078,180,13332,0.557,666,15.83,Conditionally Approved
BC00064,49,Male,Single,2,Post Graduate,West Bengal,Owned,Salaried,14,114570,115813,12.4,37,149587,95.6,94.8,-1,20,14,0,0,1,40.6,1,1,0,1,Home Loan,536598,180,6032,0.096,756,9.32,Approved
BC00065,38,Female,Married,3,Post Graduate,West Bengal,Owned,Freelancer,0,125317,132482,37.0,27,119410,50.4,57.7,-1,58,6,0,0,1,35.8,1,1,0,4,Home Loan,4593758,120,62760,0.66,696,13.85,Under Review
BC00066,46,Male,Married,4,Higher Secondary,Punjab,Rented,Freelancer,13,97409,126761,17.0,29,115510,91.0,87.5,-1,22,10,0,1,2,27.8,0,2,0,5,Personal Loan,583037,84,9922,0.359,742,10.43,Conditionally Approved
BC00067,64,Male,Single,2,Graduate,Delhi,Parental,Self-Employed,0,38248,73359,7.9,42,47764,83.7,60.6,1,24,8,0,1,2,3.0,0,0,0,3,Home Loan,3881871,84,66060,2.119,748,11.1,Rejected
BC00068,54,Female,Married,2,Post Graduate,West Bengal,Parental,Self-Employed,3,23024,36605,8.6,30,21083,91.5,93.2,1,29,5,1,1,3,22.5,2,0,0,1,Education Loan,634933,84,10805,0.686,798,10.59,Under Review
BC00069,30,Male,Single,1,Secondary,West Bengal,Rented,Salaried,11,119439,18431,31.6,28,112690,87.7,22.6,-1,71,1,0,1,1,57.2,0,0,0,0,Home Loan,263933,180,2967,0.025,699,14.3,Conditionally Approved
BC00070,56,Other,Single,2,Graduate,Madhya Pradesh,Owned,Salaried,1,166214,215026,16.5,29,89324,97.6,65.9,-1,43,1,0,1,1,66.0,0,0,0,2,Personal Loan,1051720,12,92855,0.619,725,10.43,Conditionally Approved
BC00071,34,Female,Married,1,Graduate,Uttar Pradesh,Owned,Salaried,3,140053,265597,7.0,33,83148,85.0,67.2,-1,17,8,0,1,2,9.8,1,0,1,3,Vehicle Loan,2197914,60,47569,0.447,744,11.89,Conditionally Approved
BC00072,51,Female,Married,2,Post Graduate,Telangana,Parental,Gig Worker,1,34209,53503,17.4,30,47411,90.5,69.1,-1,44,9,1,1,3,38.4,1,3,2,5,Business Loan,2735662,36,89303,3.341,568,20.06,Rejected
BC00073,35,Female,Single,0,Secondary,Kerala,Owned,Salaried,15,165938,436248,31.0,35,217113,75.9,79.2,-1,41,7,0,0,1,40.5,0,0,2,5,Personal Loan,477709,180,5370,0.183,650,13.14,Rejected
BC00074,28,Male,Single,0,Higher Secondary,Telangana,Rented,Salaried,8,150426,188924,9.8,36,46955,89.7,57.7,-1,106,13,1,1,3,70.8,0,1,0,1,Education Loan,305539,84,5199,0.068,795,11.83,Approved
BC00075,34,Female,Married,2,Higher Secondary,Madhya Pradesh,Rented,Salaried,6,89027,12145,2.2,38,119587,86.8,79.6,-1,73,13,0,1,2,49.9,4,0,0,5,Vehicle Loan,1800866,24,83767,1.222,691,14.36,Rejected
BC00076,43,Female,Married,3,Post Graduate,Karnataka,Rented,Self-Employed,4,78610,72809,16.6,31,25963,86.7,85.0,1,41,13,1,0,2,7.1,0,0,0,5,Personal Loan,3354513,120,45829,0.901,832,8.5,Rejected
BC00077,60,Male,Married,2,Graduate,Rajasthan,Rented,Freelancer,8,85843,42359,17.1,34,72961,87.2,26.4,-1,16,8,1,1,3,51.1,2,0,0,2,Home Loan,3827173,120,52287,0.726,690,15.4,Under Review
BC00078,41,Female,Single,2,Graduate,Tamil Nadu,Parental,Salaried,2,54956,45375,23.7,36,20934,90.4,27.6,-1,60,3,1,0,2,19.6,1,0,3,2,Personal Loan,1852272,60,40088,0.911,612,13.0,Rejected
BC00079,36,Female,Single,3,Graduate,Kerala,Parental,Salaried,2,129797,149274,18.4,38,189840,93.1,39.4,-1,34,3,1,0,2,5.2,1,0,1,2,Education Loan,4897384,180,55050,0.501,727,9.29,Conditionally Approved
BC00080,38,Female,Married,1,Graduate,Maharashtra,Parental,Business Owner,6,495543,1021959,25.5,47,726854,78.1,94.2,1,168,14,1,0,2,72.9,1,2,0,0,Vehicle Loan,4226429,60,91472,0.185,773,11.42,Approved
BC00081,44,Female,Single,0,Secondary,West Bengal,Rented,Self-Employed,2,88233,91771,13.6,35,91149,76.4,55.2,1,11,14,1,1,3,20.3,2,0,0,5,Education Loan,3218097,12,284121,3.503,776,9.57,Rejected
BC00082,46,Male,Single,3,Post Graduate,Karnataka,Owned,Salaried,0,161511,430252,21.8,32,124468,95.3,68.2,-1,3,1,1,1,2,5.1,1,1,1,5,Personal Loan,2085030,240,21238,0.286,742,10.37,Conditionally Approved
BC00083,45,Male,Married,3,Higher Secondary,Tamil Nadu,Company Provided,Self-Employed,0,121133,117347,22.3,32,110763,77.4,81.6,1,2,13,0,0,1,32.0,2,2,0,5,Home Loan,2000852,48,51519,0.632,702,11.11,Conditionally Approved
BC00084,61,Male,Single,1,Graduate,Karnataka,Owned,Salaried,0,184342,91638,17.3,36,223931,65.9,89.2,-1,40,9,1,0,2,32.0,2,0,0,4,Home Loan,62120,24,2890,0.124,781,11.8,Approved
BC00085,49,Male,Single,1,Higher Secondary,Uttar Pradesh,Rented,Salaried,10,103815,61221,26.9,36,58949,83.9,59.9,-1,112,0,1,1,2,40.1,1,2,1,2,Personal Loan,674135,48,17358,0.264,677,15.71,Conditionally Approved
BC00086,35,Male,Widowed,3,Post Graduate,Telangana,Owned,Self-Employed,3,141649,398074,25.4,37,117578,69.3,41.7,1,0,9,0,0,1,32.9,0,0,0,3,Business Loan,4867167,240,49578,0.456,748,10.18,Conditionally Approved
BC00087,21,Female,Married,2,Graduate,Maharashtra,Rented,Self-Employed,6,22352,31717,23.8,41,26481,78.3,82.0,1,51,12,1,1,3,10.4,2,0,0,1,Business Loan,4789052,24,222763,10.19,771,10.84,Rejected
BC00088,45,Female,Married,0,Graduate,Telangana,Owned,Freelancer,2,103835,131773,17.5,36,80417,79.4,86.1,-1,42,3,1,1,3,26.8,0,0,0,3,Personal Loan,2103902,48,54172,0.666,823,7.72,Under Review
BC00089,27,Male,Divorced,0,Below Secondary,West Bengal,Parental,Salaried,1,173702,52078,24.1,37,58780,88.8,79.8,-1,52,9,1,1,3,38.4,3,0,0,0,Personal Loan,4795920,24,223082,1.284,819,8.07,Rejected
BC00090,29,Female,Married,4,Below Secondary,Telangana,Company Provided,Self-Employed,2,43927,97809,2.0,40,39924,62.7,81.4,1,17,9,1,0,2,32.4,5,1,0,0,Personal Loan,2271186,60,49155,1.119,676,13.68,Rejected
BC00091,44,Male,Married,0,Graduate,Rajasthan,Rented,Business Owner,7,331954,701914,17.2,32,393330,94.3,78.3,1,68,10,1,1,3,16.8,1,3,0,5,Personal Loan,3371613,36,110063,0.407,757,10.88,Approved
BC00092,21,Female,Married,1,Post Graduate,Karnataka,Owned,Salaried,4,191216,227480,15.3,39,281504,82.5,83.4,-1,1,7,0,0,1,66.9,1,0,1,3,Home Loan,884030,24,41121,0.293,661,12.24,Conditionally Approved
BC00093,64,Female,Single,2,Graduate,Madhya Pradesh,Rented,Business Owner,13,205394,432583,15.0,25,70749,97.9,74.4,1,56,1,0,0,0,32.3,0,0,0,5,Home Loan,4436152,240,45187,0.342,743,11.36,Conditionally Approved
BC00094,28,Female,Married,0,Graduate,Delhi,Rented,Salaried,5,163051,190054,5.2,36,154557,82.3,84.8,-1,12,12,1,0,2,7.3,0,0,0,4,Home Loan,2401441,60,51974,0.441,812,8.11,Approved
BC00095,44,Male,Divorced,1,Higher Secondary,Telangana,Company Provided,Unemployed,4,8779,2740,30.0,31,7374,86.0,43.8,-1,25,11,1,0,2,29.7,2,1,0,0,Home Loan,2974553,60,64378,7.333,777,11.68,Rejected
BC00096,31,Male,Married,1,Graduate,Kerala,Owned,Salaried,4,198672,445122,15.7,46,117403,83.3,84.4,-1,69,10,1,1,3,34.7,2,0,0,0,Home Loan,2316598,12,204529,1.029,825,7.64,Rejected
BC00097,37,Female,Single,1,Graduate,Telangana,Owned,Self-Employed,14,110985,321755,20.0,31,118234,72.7,84.1,1,12,7,0,1,2,76.0,1,0,0,3,Home Loan,1826238,84,31078,0.415,683,13.82,Conditionally Approved
BC00098,28,Female,Married,3,Higher Secondary,Madhya Pradesh,Rented,Salaried,7,111205,220191,13.8,36,55196,59.2,71.2,-1,8,0,0,1,1,37.2,1,1,0,0,Vehicle Loan,112784,120,1541,0.014,705,9.87,Conditionally Approved
BC00099,55,Female,Married,2,Post Graduate,Punjab,Parental,Unemployed,0,5145,4639,24.2,35,3296,72.5,67.2,-1,45,14,1,1,3,13.9,1,0,0,4,Personal Loan,4960662,12,437969,89.012,772,10.67,Rejected
BC00100,55,Male,Married,1,Higher Secondary,Gujarat,Rented,Self-Employed,3,46781,41297,9.5,41,57920,68.7,51.9,0,30,0,0,0,0,55.0,1,5,0,4,Credit Card,2509730,240,25564,0.974,481,23.61,Rejected
BC00101,53,Male,Divorced,1,Graduate,Uttar Pradesh,Owned,Self-Employed,5,28652,80055,18.1,23,24426,79.5,71.0,0,28,3,1,0,2,64.3,2,0,1,4,Home Loan,4488072,180,50449,2.459,562,17.23,Rejected
BC00102,25,Male,Single,0,Higher Secondary,Delhi,Owned,Salaried,6,181299,177590,2.1,27,270571,88.9,60.7,-1,11,6,0,1,2,25.3,3,4,0,1,Personal Loan,2045127,180,22989,0.154,691,14.49,Conditionally Approved
BC00103,62,Female,Single,0,Post Graduate,Gujarat,Owned,Business Owner,1,392951,914695,14.1,37,300117,74.3,72.8,0,1,8,0,0,1,3.7,1,0,0,4,Personal Loan,1791070,120,24470,0.113,744,9.32,Conditionally Approved
BC00104,59,Female,Single,2,Graduate,Uttar Pradesh,Owned,Salaried,10,42153,82808,2.1,31,36079,88.3,50.7,-1,21,4,0,1,2,52.3,1,0,0,4,Home Loan,1558834,60,33738,1.275,666,13.6,Rejected
BC00105,61,Male,Married,0,Below Secondary,Gujarat,Parental,Freelancer,15,128499,233681,18.5,45,84849,86.5,85.7,-1,4,1,0,0,0,42.9,5,2,0,1,Education Loan,1085108,36,35422,0.315,642,14.09,Under Review
BC00106,48,Male,Single,2,Graduate,Tamil Nadu,Owned,Salaried,1,133212,83273,6.7,38,77736,96.0,84.2,-1,94,11,1,1,3,15.3,1,1,0,5,Home Loan,4387739,240,44694,0.523,826,8.13,Conditionally Approved
BC00107,27,Female,Married,3,Secondary,Rajasthan,Rented,Salaried,10,64071,12801,25.5,30,90131,63.4,29.3,-1,1,6,0,1,2,80.8,0,2,0,2,Credit Card,528365,120,7219,0.269,567,22.93,Under Review
BC00108,29,Other,Single,1,Higher Secondary,Delhi,Rented,Salaried,0,137990,209353,3.8,33,165394,93.2,74.3,-1,22,10,0,0,1,52.1,1,0,0,0,Education Loan,2964212,180,33320,0.241,702,11.38,Conditionally Approved
BC00109,28,Male,Married,1,Secondary,Maharashtra,Owned,Self-Employed,0,97722,289810,17.0,40,68414,73.5,74.2,1,2,1,1,1,2,12.2,1,3,2,4,Vehicle Loan,2124242,84,36149,0.575,607,14.44,Rejected
BC00110,32,Male,Single,3,Graduate,Delhi,Parental,Self-Employed,0,27356,18266,2.4,30,31191,84.1,66.2,1,4,8,1,0,2,66.1,1,0,0,0,Vehicle Loan,3265400,60,70672,2.583,694,15.2,Rejected
BC00111,54,Male,Single,3,Post Graduate,Kerala,Rented,Salaried,0,120457,199589,24.2,39,175740,92.1,64.5,-1,43,8,1,1,3,31.8,1,0,0,3,Business Loan,1669110,180,18762,0.28,787,11.31,Approved
BC00112,53,Male,Married,3,Higher Secondary,Tamil Nadu,Owned,Gig Worker,9,35256,72128,27.0,47,13710,92.5,61.3,-1,41,2,0,0,0,16.8,4,0,0,0,Personal Loan,544209,36,17765,0.504,730,10.44,Conditionally Approved
