Txn Date,Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance
25/11/2025,25/11/2025,UPI/RAJU-VENDOR/229494,REF000032,,717.00,"40,871.00"
26/11/2025,26/11/2025,UPI/RAJU-VENDOR/761955,REF000033,,"1,374.00","42,245.00"
26/11/2025,26/11/2025,UPI/TO/MEDPLUS,REF000034,542.00,,"41,703.00"
27/11/2025,27/11/2025,UPI/RAJU-VENDOR/134413,REF000035,,"1,494.00","43,197.00"
28/11/2025,28/11/2025,UPI/RAJU-VENDOR/476864,REF000036,,"2,139.00","45,336.00"
28/11/2025,28/11/2025,UPI/TO/UDUPI CAFE,REF000037,620.00,,"44,716.00"
01/12/2025,01/12/2025,UPI/RAJU-VENDOR/504660,REF000038,,"2,142.00","45,570.00"
02/12/2025,02/12/2025,UPI/RAJU-VENDOR/944812,REF000039,,"2,106.00","47,676.00"
02/12/2025,02/12/2025,UPI/TO/UDUPI CAFE,REF000040,563.00,,"47,113.00"
03/12/2025,03/12/2025,UPI/RAJU-VENDOR/637869,REF000041,,850.00,"47,963.00"
04/12/2025,04/12/2025,UPI/RAJU-VENDOR/788621,REF000042,,812.00,"48,775.00"
04/12/2025,04/12/2025,UPI/TO/FRUIT MART,REF000043,492.00,,"48,283.00"
05/12/2025,05/12/2025,UPI/RAJU-VENDOR/176815,REF000044,,"1,085.00","49,368.00"
06/12/2025,06/12/2025,UPI/RAJU-VENDOR/333904,REF000045,,955.00,"50,323.00"
06/12/2025,06/12/2025,UPI/TO/D-MART,REF000046,169.00,,"50,154.00"
08/12/2025,08/12/2025,UPI/RAJU-VENDOR/276436,REF000047,,"1,006.00","51,160.00"
08/12/2025,08/12/2025,UPI/TO/PHARMA,REF000048,758.00,,"50,402.00"
09/12/2025,09/12/2025,UPI/RAJU-VENDOR/768940,REF000049,,"1,289.00","51,691.00"
10/12/2025,10/12/2025,UPI/RAJU-VENDOR/237164,REF000050,,776.00,"52,467.00"
10/12/2025,10/12/2025,UPI/TO/MEDPLUS,REF000051,402.00,,"52,065.00"
11/12/2025,11/12/2025,UPI/RAJU-VENDOR/990435,REF000052,,911.00,"52,976.00"
12/12/2025,12/12/2025,UPI/RAJU-VENDOR/879526,REF000053,,"1,194.00","54,170.00"
12/12/2025,12/12/2025,UPI/TO/UDUPI CAFE,REF000054,684.00,,"53,486.00"
13/12/2025,13/12/2025,UPI/RAJU-VENDOR/708317,REF000055,,"1,393.00","54,879.00"
13/12/2025,13/12/2025,BILLPAY/Jio,REF000056,859.00,,"69,355.00"
15/12/2025,15/12/2025,UPI/RAJU-VENDOR/696070,REF000057,,"1,403.00","56,282.00"
16/12/2025,16/12/2025,UPI/RAJU-VENDOR/363355,REF000058,,"2,117.00","58,399.00"
16/12/2025,16/12/2025,UPI/TO/MEDPLUS,REF000059,368.00,,"58,031.00"
17/12/2025,17/12/2025,UPI/RAJU-VENDOR/767241,REF000060,,"1,280.00","59,311.00"
18/12/2025,18/12/2025,UPI/RAJU-VENDOR/680474,REF000061,,"2,182.00","61,493.00"
18/12/2025,18/12/2025,UPI/TO/FUEL STATION,REF000062,502.00,,"60,991.00"
19/12/2025,19/12/2025,UPI/RAJU-VENDOR/485966,REF000063,,801.00,"61,792.00"
20/12/2025,20/12/2025,UPI/RAJU-VENDOR/111295,REF000064,,"1,643.00","63,435.00"
20/12/2025,20/12/2025,UPI/TO/FUEL STATION,REF000065,458.00,,"62,977.00"
22/12/2025,22/12/2025,UPI/RAJU-VENDOR/548741,REF000066,,"1,374.00","64,351.00"
22/12/2025,22/12/2025,UPI/TO/MEDPLUS,REF000067,783.00,,"63,568.00"
23/12/2025,23/12/2025,UPI/RAJU-VENDOR/500787,REF000068,,"1,773.00","65,341.00"
24/12/2025,24/12/2025,UPI/RAJU-VENDOR/609036,REF000069,,"1,430.00","66,771.00"
24/12/2025,24/12/2025,UPI/TO/PHARMA,REF000070,295.00,,"66,476.00"
25/12/2025,25/12/2025,UPI/RAJU-VENDOR/989138,REF000071,,"1,213.00","67,689.00"
26/12/2025,26/12/2025,UPI/RAJU-VENDOR/761860,REF000072,,"1,103.00","68,792.00"
26/12/2025,26/12/2025,UPI/TO/UDUPI CAFE,REF000073,331.00,,"68,461.00"
27/12/2025,27/12/2025,UPI/RAJU-VENDOR/501959,REF000074,,"1,753.00","70,214.00"
01/01/2026,01/01/2026,UPI/RAJU-VENDOR/117129,REF000075,,"1,729.00","71,084.00"
01/01/2026,01/01/2026,UPI/RAJU-VENDOR/733855,REF000076,,"1,237.00","101,233.00"
02/01/2026,02/01/2026,UPI/RAJU-VENDOR/345317,REF000077,,"1,575.00","72,659.00"
02/01/2026,02/01/2026,UPI/TO/KIRANA,REF000078,474.00,,"72,185.00"
02/01/2026,02/01/2026,UPI/RAJU-VENDOR/236304,REF000079,,"1,563.00","102,796.00"
02/01/2026,02/01/2026,UPI/TO/PHARMA,REF000080,547.00,,"102,249.00"
03/01/2026,03/01/2026,UPI/RAJU-VENDOR/198589,REF000081,,"2,081.00","74,266.00"
03/01/2026,03/01/2026,UPI/RAJU-VENDOR/536906,REF000082,,634.00,"102,883.00"
05/01/2026,05/01/2026,UPI/RAJU-VENDOR/730419,REF000083,,"1,523.00","75,789.00"
05/01/2026,05/01/2026,UPI/RAJU-VENDOR/970188,REF000084,,"1,722.00","104,605.00"
06/01/2026,06/01/2026,UPI/RAJU-VENDOR/259192,REF000085,,"1,557.00","77,346.00"
06/01/2026,06/01/2026,UPI/TO/D-MART,REF000086,527.00,,"76,819.00"
06/01/2026,06/01/2026,UPI/RAJU-VENDOR/558750,REF000087,,624.00,"105,229.00"
06/01/2026,06/01/2026,UPI/TO/MEDPLUS,REF000088,591.00,,"104,638.00"
07/01/2026,07/01/2026,UPI/RAJU-VENDOR/961546,REF000089,,972.00,"77,791.00"
07/01/2026,07/01/2026,UPI/RAJU-VENDOR/350680,REF000090,,"1,179.00","105,817.00"
08/01/2026,08/01/2026,UPI/RAJU-VENDOR/483327,REF000091,,"1,475.00","79,266.00"
08/01/2026,08/01/2026,UPI/TO/FRUIT MART,REF000092,476.00,,"78,790.00"
08/01/2026,08/01/2026,UPI/RAJU-VENDOR/935154,REF000093,,"1,786.00","107,603.00"
08/01/2026,08/01/2026,UPI/TO/UDUPI CAFE,REF000094,471.00,,"107,132.00"
09/01/2026,09/01/2026,UPI/RAJU-VENDOR/190563,REF000095,,"1,751.00","80,541.00"
09/01/2026,09/01/2026,UPI/RAJU-VENDOR/849235,REF000096,,820.00,"107,952.00"
10/01/2026,10/01/2026,UPI/RAJU-VENDOR/745944,REF000097,,"1,020.00","81,561.00"
10/01/2026,10/01/2026,UPI/TO/MEDPLUS,REF000098,309.00,,"81,252.00"
10/01/2026,10/01/2026,UPI/RAJU-VENDOR/903546,REF000099,,"1,013.00","108,965.00"
10/01/2026,10/01/2026,UPI/TO/FUEL STATION,REF000100,217.00,,"108,748.00"
12/01/2026,12/01/2026,UPI/RAJU-VENDOR/107153,REF000101,,"1,002.00","82,254.00"
12/01/2026,12/01/2026,UPI/TO/D-MART,REF000102,662.00,,"81,592.00"
12/01/2026,12/01/2026,UPI/RAJU-VENDOR/441343,REF000103,,818.00,"109,566.00"
12/01/2026,12/01/2026,UPI/TO/FUEL STATION,REF000104,156.00,,"109,410.00"
12/01/2026,12/01/2026,BILLPAY/IGL,REF000105,"1,011.00",,"123,720.00"
13/01/2026,13/01/2026,UPI/RAJU-VENDOR/334148,REF000106,,"1,814.00","83,406.00"
13/01/2026,13/01/2026,BILLPAY/BESCOM,REF000107,920.00,,"99,996.00"
13/01/2026,13/01/2026,UPI/RAJU-VENDOR/726622,REF000108,,"2,032.00","111,442.00"
14/01/2026,14/01/2026,UPI/RAJU-VENDOR/461736,REF000109,,"1,120.00","84,526.00"
14/01/2026,14/01/2026,UPI/TO/KIRANA,REF000110,411.00,,"84,115.00"
14/01/2026,14/01/2026,UPI/RAJU-VENDOR/138568,REF000111,,"1,702.00","113,144.00"
14/01/2026,14/01/2026,UPI/TO/KIRANA,REF000112,282.00,,"112,862.00"
15/01/2026,15/01/2026,UPI/RAJU-VENDOR/659013,REF000113,,"2,022.00","86,137.00"
15/01/2026,15/01/2026,UPI/RAJU-VENDOR/616244,REF000114,,"1,037.00","113,899.00"
16/01/2026,16/01/2026,UPI/RAJU-VENDOR/705927,REF000115,,"1,332.00","87,469.00"
16/01/2026,16/01/2026,UPI/TO/MEDPLUS,REF000116,161.00,,"87,308.00"
16/01/2026,16/01/2026,UPI/RAJU-VENDOR/143322,REF000117,,"1,664.00","115,563.00"
16/01/2026,16/01/2026,UPI/TO/D-MART,REF000118,302.00,,"115,261.00"
17/01/2026,17/01/2026,UPI/RAJU-VENDOR/208102,REF000119,,"1,195.00","88,503.00"
17/01/2026,17/01/2026,UPI/RAJU-VENDOR/506025,REF000120,,"1,974.00","117,235.00"
19/01/2026,19/01/2026,UPI/RAJU-VENDOR/959095,REF000121,,"1,813.00","90,316.00"
19/01/2026,19/01/2026,UPI/RAJU-VENDOR/639598,REF000122,,835.00,"118,070.00"
20/01/2026,20/01/2026,UPI/RAJU-VENDOR/263789,REF000123,,672.00,"90,988.00"
20/01/2026,20/01/2026,UPI/TO/UDUPI CAFE,REF000124,411.00,,"90,577.00"
20/01/2026,20/01/2026,UPI/RAJU-VENDOR/438758,REF000125,,"1,397.00","119,467.00"
20/01/2026,20/01/2026,UPI/TO/PHARMA,REF000126,737.00,,"118,730.00"
21/01/2026,21/01/2026,UPI/RAJU-VENDOR/334904,REF000127,,"1,595.00","92,172.00"
21/01/2026,21/01/2026,UPI/RAJU-VENDOR/353781,REF000128,,"1,888.00","120,618.00"
22/01/2026,22/01/2026,UPI/RAJU-VENDOR/780316,REF000129,,"1,510.00","93,682.00"
22/01/2026,22/01/2026,UPI/TO/FUEL STATION,REF000130,808.00,,"92,874.00"
22/01/2026,22/01/2026,UPI/RAJU-VENDOR/961616,REF000131,,"1,195.00","121,813.00"
22/01/2026,22/01/2026,UPI/TO/FUEL STATION,REF000132,609.00,,"121,204.00"
23/01/2026,23/01/2026,UPI/RAJU-VENDOR/793168,REF000133,,"2,036.00","94,910.00"
23/01/2026,23/01/2026,UPI/RAJU-VENDOR/664159,REF000134,,"1,034.00","122,238.00"
24/01/2026,24/01/2026,UPI/RAJU-VENDOR/410644,REF000135,,"1,896.00","96,806.00"
24/01/2026,24/01/2026,UPI/TO/PHARMA,REF000136,334.00,,"96,472.00"
24/01/2026,24/01/2026,UPI/RAJU-VENDOR/374555,REF000137,,"1,920.00","124,158.00"
24/01/2026,24/01/2026,UPI/TO/KIRANA,REF000138,788.00,,"123,370.00"
26/01/2026,26/01/2026,UPI/RAJU-VENDOR/512198,REF000139,,"1,983.00","98,455.00"
26/01/2026,26/01/2026,UPI/TO/D-MART,REF000140,760.00,,"97,695.00"
26/01/2026,26/01/2026,UPI/RAJU-VENDOR/740356,REF000141,,"1,167.00","124,537.00"
26/01/2026,26/01/2026,UPI/TO/MEDPLUS,REF000142,733.00,,"123,804.00"
27/01/2026,27/01/2026,UPI/RAJU-VENDOR/193419,REF000143,,"1,967.00","99,662.00"
27/01/2026,27/01/2026,UPI/RAJU-VENDOR/876568,REF000144,,"1,009.00","124,813.00"
28/01/2026,28/01/2026,UPI/RAJU-VENDOR/165538,REF000145,,"1,952.00","101,614.00"
28/01/2026,28/01/2026,UPI/TO/D-MART,REF000146,698.00,,"100,916.00"
28/01/2026,28/01/2026,UPI/RAJU-VENDOR/672117,REF000147,,742.00,"125,555.00"
28/01/2026,28/01/2026,UPI/TO/FRUIT MART,REF000148,824.00,,"124,731.00"
02/03/2026,02/03/2026,UPI/RAJU-VENDOR/251302,REF000149,,"2,121.00","125,841.00"
02/03/2026,02/03/2026,UPI/TO/FUEL STATION,REF000150,762.00,,"125,079.00"
03/03/2026,03/03/2026,UPI/RAJU-VENDOR/259884,REF000151,,"2,141.00","127,220.00"
04/03/2026,04/03/2026,UPI/RAJU-VENDOR/483182,REF000152,,694.00,"127,914.00"
04/03/2026,04/03/2026,UPI/TO/D-MART,REF000153,719.00,,"127,195.00"
05/03/2026,05/03/2026,UPI/RAJU-VENDOR/157027,REF000154,,"1,804.00","128,999.00"
06/03/2026,06/03/2026,UPI/RAJU-VENDOR/191644,REF000155,,"1,659.00","130,658.00"
06/03/2026,06/03/2026,UPI/TO/KIRANA,REF000156,366.00,,"130,292.00"
07/03/2026,07/03/2026,UPI/RAJU-VENDOR/333989,REF000157,,"1,672.00","131,964.00"
09/03/2026,09/03/2026,UPI/RAJU-VENDOR/572282,REF000158,,"2,085.00","134,049.00"
10/03/2026,10/03/2026,UPI/RAJU-VENDOR/275297,REF000159,,"1,167.00","135,216.00"
10/03/2026,10/03/2026,UPI/TO/KIRANA,REF000160,716.00,,"134,500.00"
11/03/2026,11/03/2026,UPI/RAJU-VENDOR/118831,REF000161,,"2,150.00","136,650.00"
12/03/2026,12/03/2026,UPI/RAJU-VENDOR/104920,REF000162,,"1,776.00","138,426.00"
12/03/2026,12/03/2026,UPI/TO/UDUPI CAFE,REF000163,235.00,,"138,191.00"
13/03/2026,13/03/2026,UPI/RAJU-VENDOR/868447,REF000164,,"1,531.00","139,722.00"
13/03/2026,13/03/2026,BILLPAY/Jio,REF000165,723.00,,"155,532.00"
14/03/2026,14/03/2026,UPI/RAJU-VENDOR/353221,REF000166,,"1,961.00","141,683.00"
14/03/2026,14/03/2026,UPI/TO/FRUIT MART,REF000167,810.00,,"140,873.00"
16/03/2026,16/03/2026,UPI/RAJU-VENDOR/869697,REF000168,,"1,703.00","142,576.00"
16/03/2026,16/03/2026,UPI/TO/MEDPLUS,REF000169,651.00,,"141,925.00"
17/03/2026,17/03/2026,UPI/RAJU-VENDOR/238345,REF000170,,"1,151.00","143,076.00"
18/03/2026,18/03/2026,UPI/RAJU-VENDOR/676265,REF000171,,"1,790.00","144,866.00"
18/03/2026,18/03/2026,UPI/TO/FUEL STATION,REF000172,614.00,,"144,252.00"
19/03/2026,19/03/2026,UPI/RAJU-VENDOR/251794,REF000173,,"1,437.00","145,689.00"
20/03/2026,20/03/2026,UPI/RAJU-VENDOR/668062,REF000174,,"2,059.00","147,748.00"
20/03/2026,20/03/2026,UPI/TO/KIRANA,REF000175,598.00,,"147,150.00"
21/03/2026,21/03/2026,UPI/RAJU-VENDOR/611231,REF000176,,"1,996.00","149,146.00"
23/03/2026,23/03/2026,UPI/RAJU-VENDOR/283358,REF000177,,"2,126.00","151,272.00"
24/03/2026,24/03/2026,UPI/RAJU-VENDOR/458022,REF000178,,"1,424.00","152,696.00"
24/03/2026,24/03/2026,UPI/TO/D-MART,REF000179,146.00,,"152,550.00"
25/03/2026,25/03/2026,UPI/RAJU-VENDOR/183705,REF000180,,"1,113.00","153,663.00"
26/03/2026,26/03/2026,UPI/RAJU-VENDOR/921686,REF000181,,"1,165.00","154,828.00"
26/03/2026,26/03/2026,UPI/TO/D-MART,REF000182,614.00,,"154,214.00"
27/03/2026,27/03/2026,UPI/RAJU-VENDOR/806492,REF000183,,"1,130.00","155,344.00"
28/03/2026,28/03/2026,UPI/RAJU-VENDOR/918036,REF000184,,"1,281.00","156,625.00"
28/03/2026,28/03/2026,UPI/TO/FUEL STATION,REF000185,370.00,,"156,255.00"
01/04/2026,01/04/2026,UPI/RAJU-VENDOR/149112,REF000186,,"1,364.00","156,896.00"
02/04/2026,02/04/2026,UPI/RAJU-VENDOR/983958,REF000187,,"1,380.00","158,276.00"
02/04/2026,02/04/2026,UPI/TO/FUEL STATION,REF000188,486.00,,"157,790.00"
03/04/2026,03/04/2026,UPI/RAJU-VENDOR/708288,REF000189,,"1,949.00","159,739.00"
04/04/2026,04/04/2026,UPI/RAJU-VENDOR/445547,REF000190,,993.00,"160,732.00"
04/04/2026,04/04/2026,UPI/TO/KIRANA,REF000191,204.00,,"160,528.00"
06/04/2026,06/04/2026,UPI/RAJU-VENDOR/578281,REF000192,,"1,275.00","161,803.00"
06/04/2026,06/04/2026,UPI/TO/FUEL STATION,REF000193,602.00,,"161,201.00"
07/04/2026,07/04/2026,UPI/RAJU-VENDOR/915254,REF000194,,"1,127.00","162,328.00"
08/04/2026,08/04/2026,UPI/RAJU-VENDOR/644944,REF000195,,"2,191.00","164,519.00"
08/04/2026,08/04/2026,UPI/TO/MEDPLUS,REF000196,370.00,,"164,149.00"
09/04/2026,09/04/2026,UPI/RAJU-VENDOR/616827,REF000197,,"1,785.00","165,934.00"
10/04/2026,10/04/2026,UPI/RAJU-VENDOR/873373,REF000198,,"1,551.00","167,485.00"
10/04/2026,10/04/2026,UPI/TO/FRUIT MART,REF000199,343.00,,"167,142.00"
11/04/2026,11/04/2026,UPI/RAJU-VENDOR/737771,REF000200,,"1,039.00","168,181.00"
11/04/2026,11/04/2026,BILLPAY/IGL,REF000201,553.00,,"182,067.00"
13/04/2026,13/04/2026,UPI/RAJU-VENDOR/316450,REF000202,,987.00,"169,168.00"
14/04/2026,14/04/2026,UPI/RAJU-VENDOR/977513,REF000203,,"1,317.00","170,485.00"
14/04/2026,14/04/2026,UPI/TO/UDUPI CAFE,REF000204,549.00,,"169,936.00"
15/04/2026,15/04/2026,UPI/RAJU-VENDOR/282086,REF000205,,"2,184.00","172,120.00"
16/04/2026,16/04/2026,UPI/RAJU-VENDOR/929091,REF000206,,"1,344.00","173,464.00"
16/04/2026,16/04/2026,UPI/TO/FRUIT MART,REF000207,644.00,,"172,820.00"
17/04/2026,17/04/2026,UPI/RAJU-VENDOR/808582,REF000208,,721.00,"173,541.00"
18/04/2026,18/04/2026,UPI/RAJU-VENDOR/624755,REF000209,,954.00,"174,495.00"
18/04/2026,18/04/2026,UPI/TO/FRUIT MART,REF000210,616.00,,"173,879.00"
20/04/2026,20/04/2026,UPI/RAJU-VENDOR/859457,REF000211,,"1,218.00","175,097.00"
20/04/2026,20/04/2026,UPI/TO/FUEL STATION,REF000212,707.00,,"174,390.00"
21/04/2026,21/04/2026,UPI/RAJU-VENDOR/849270,REF000213,,"1,584.00","175,974.00"
22/04/2026,22/04/2026,UPI/RAJU-VENDOR/610826,REF000214,,"1,435.00","177,409.00"
22/04/2026,22/04/2026,UPI/TO/PHARMA,REF000215,456.00,,"176,953.00"
23/04/2026,23/04/2026,UPI/RAJU-VENDOR/767074,REF000216,,646.00,"177,599.00"
24/04/2026,24/04/2026,UPI/RAJU-VENDOR/445709,REF000217,,"1,708.00","179,307.00"
24/04/2026,24/04/2026,UPI/TO/FUEL STATION,REF000218,494.00,,"178,813.00"
25/04/2026,25/04/2026,UPI/RAJU-VENDOR/386912,REF000219,,"1,792.00","180,605.00"
27/04/2026,27/04/2026,UPI/RAJU-VENDOR/305029,REF000220,,"1,377.00","181,982.00"
28/04/2026,28/04/2026,UPI/RAJU-VENDOR/234875,REF000221,,764.00,"182,746.00"
28/04/2026,28/04/2026,UPI/TO/UDUPI CAFE,REF000222,126.00,,"182,620.00"
